name,thermal_time_initiation,allocation_priority,max_size,initial_size,rate
RP1,10,1,27.42123019,0.013215724,0.004317336
RP2,10,2,27.42123019,0.013215724,0.004317336
RP3,10,3,27.42123019,0.013215724,0.004317336
RP4,10,4,27.42123019,0.013215724,0.004317336
RP5,10,5,27.42123019,0.013215724,0.004317336
RP6,10,6,27.42123019,0.013215724,0.004317336
RP7,10,7,27.42123019,0.013215724,0.004317336
RP8,10,8,27.42123019,0.013215724,0.004317336
RP9,10,9,27.42123019,0.013215724,0.004317336
RP10,10,10,27.42123019,0.013215724,0.004317336
RP11,10,11,27.42123019,0.013215724,0.004317336
RP12,10,12,27.42123019,0.013215724,0.004317336
RP13,10,13,27.42123019,0.013215724,0.004317336
RP14,10,14,27.42123019,0.013215724,0.004317336
RP15,10,15,27.42123019,0.013215724,0.004317336
