Year,doy,Development_Stage,LAI,Cumulative_Thermal_Unit,LiveRoot_Dry_Weight,Shoot_Dry_Weight,weight_roots_living,Leaf_Carbon,Stem_Carbon,Seed_Carbon,Root_Carbon,Nitrogen_Leaf,Nitrogen_Stem,Nitrogen_Seed,Nitrogen_Root,Nitrogen_uptake,Respiration_Uptakes,Maintenance_Respiration,Cumulative_Respiration,Potential_Canopy_Photosynthesis,Actual_Canopy_Photosynthesis,Potential_Canopy_Temp,Actual_Canopy_Temp,potential_evap_daily,Actual_Daily_Evaporation,Potential_Canopy_Transpiration,Actual_Canopy_Transpiration,Plant_Height,available_soluble_N,Root_Depth,average_soil_temperature,Current_Soil_Moisture_Top_Layer
2023.0,110.0,0.02,0.052,0.57,1.577,1.577,0.000,0.857,0.000,0.000,0.757,0.092,0.000,0.000,0.051,0.013,0.101,0.077,0.168,0.34887,0.53337,2.19080,6.09510,2.58858,2.58858,0.00015,0.00015,0.001,0.037,5.000,15.015,0.2960, 
2023.0,111.0,0.03,0.061,1.17,1.577,1.785,0.000,0.943,0.000,0.000,0.757,0.100,0.000,0.000,0.051,0.008,0.059,0.185,0.432,0.31591,0.57833,0.57489,5.64489,2.79486,2.79486,0.00554,0.00554,0.001,0.046,5.000,15.190,0.2949, 
2023.0,112.0,0.05,0.067,1.78,1.577,1.964,0.000,1.097,0.000,0.000,0.757,0.120,0.000,0.000,0.051,0.020,0.156,0.147,0.721,0.67641,0.85453,7.75793,10.16240,2.03577,2.03577,0.00001,0.00001,0.001,0.059,5.000,15.603,0.2936, 
2023.0,113.0,0.07,0.080,2.32,1.577,2.285,0.000,1.178,0.000,0.000,0.757,0.124,0.000,0.000,0.051,0.004,0.033,0.256,1.052,0.19386,0.63001,-4.94918,3.57407,2.48337,2.48337,0.00501,0.00501,0.001,0.089,5.000,15.342,0.2905, 
2023.0,114.0,0.09,0.084,2.98,1.577,2.455,0.000,1.336,0.001,0.000,0.757,0.138,0.000,0.000,0.051,0.014,0.107,0.135,1.332,0.51531,0.86264,3.03443,7.52621,3.50023,3.50023,0.02281,0.02281,0.001,0.138,5.000,15.842,0.2850, 
2023.0,115.0,0.11,0.093,3.69,1.577,2.786,0.000,1.479,0.002,0.000,0.757,0.146,0.000,0.000,0.051,0.009,0.069,0.215,1.679,0.11537,0.87488,-10.28852,5.34930,2.80365,2.80365,0.00480,0.00480,0.001,0.165,5.000,16.548,0.2829, 
2023.0,116.0,0.13,0.099,4.36,1.577,3.086,0.000,1.706,0.006,0.000,0.757,0.165,0.000,0.000,0.051,0.018,0.143,0.180,2.071,0.94906,1.23620,7.87383,10.47318,2.84924,2.84924,0.01844,0.01844,0.001,0.213,5.000,16.849,0.2790, 
2023.0,117.0,0.14,0.112,4.94,1.577,3.566,0.000,2.022,0.012,0.000,0.757,0.191,0.000,0.000,0.051,0.027,0.209,0.263,2.628,1.64830,1.73761,12.35510,13.12029,2.64150,2.64150,0.00001,0.00001,0.001,0.250,5.000,17.133,0.2758, 
2023.0,118.0,0.16,0.129,5.57,1.577,4.236,0.000,2.321,0.022,0.000,0.757,0.209,0.001,0.000,0.051,0.018,0.140,0.341,3.253,1.54483,1.76142,10.12409,11.56666,2.37356,2.37356,0.01306,0.01306,0.001,0.177,5.000,17.165,0.2837, 
2023.0,119.0,0.18,0.141,6.24,1.577,4.882,0.000,2.727,0.039,0.000,0.757,0.233,0.001,0.000,0.051,0.025,0.195,0.277,3.918,2.06466,2.21392,14.05839,15.10591,2.68435,2.68435,0.06524,0.06524,0.001,0.213,5.000,17.458,0.2795, 
