year,month,day,sunshine,maxT,minT,Rh,ws,rainfall
1990,1,1,1,2.2,-0.4,100,1.3,0
1990,1,2,0.440723524,2.2,-0.4,92.03002675,3.4,0
1990,1,3,0,2.4,0,93.06189271,2.9,0
1990,1,4,0.082204978,1.6,-1.2,88.74874785,2.2,0.1
1990,1,5,0,3.7,1.6,93.35474324,4.1,0
1990,1,6,3.491650702,6.2,2.4,80.66922717,3.2,0.7
1990,1,7,0,5.9,2.3,92.80037034,2.7,1.7
1990,1,8,0,5.9,4.4,94.16416674,2.8,1
1990,1,9,0.589915887,8.2,5.7,94.15414633,4,0.7
1990,1,10,0,7,5,89.83421821,3.5,0.6
1990,1,11,0.124344405,8.1,3.6,89.69188898,2.3,0
1990,1,12,5.635506927,6.4,0.3,82.39346669,2,0
1990,1,13,0,4.4,0.2,97.10014067,2.4,0.6
1990,1,14,0,3.5,0.2,93.11333307,5.5,0
1990,1,15,0,11.2,2.3,95.45764334,6.6,2.7
1990,1,16,0,11.3,9.4,86.71661967,6,0.7
1990,1,17,2.103634594,10.5,1,83.78712314,5,0.9
1990,1,18,5.047908902,7.9,0.5,81.23779826,5.2,0
1990,1,19,1.669772503,6.9,2.8,91.52270609,4.2,2.6
1990,1,20,2.874107641,9.7,4.9,87.03128547,4.1,11.2
1990,1,21,0,9.8,8.3,90.28842864,4.9,1.1
1990,1,22,0,9.2,7.3,84.31859185,6.7,0.4
1990,1,23,0,10,5.6,92.61227287,5.4,11.8
1990,1,24,1.538043197,6.5,3.7,77.41598118,9.8,7.2
1990,1,25,0,13,4.9,60.30892373,7.5,8.8
1990,1,26,1.797903162,7,3,80.25089662,4.9,3.5
1990,1,27,3.098088129,7.9,2.7,84.20350706,7,0.1
1990,1,28,0.553543033,10.2,4,72.3706422,4.7,3
1990,1,29,5.195129034,8,3.1,80.54522617,5.9,0
1990,1,30,1.520663176,10.5,4.6,77.86483553,6.1,0.6
1990,1,31,1.037167315,12.1,9.4,62.74400586,5.1,0
1990,2,1,4.089346236,11,7.1,72.92526928,5.9,0
1990,2,2,3.381460883,9.1,5.1,80.30167148,5.2,3.9
1990,2,3,0,9.5,5.3,82.55262353,4.8,8.3
1990,2,4,5.866311945,10,3.2,80.03175263,3.6,0
1990,2,5,7.541242918,12.7,3.3,64.32374633,3.8,0
1990,2,6,6.684446643,12.2,3.9,76.18290752,8.3,0
1990,2,7,0,14.5,8,77.17757496,7.7,2.4
1990,2,8,0.22483345,15.4,4,73.95667999,3.7,8.6
1990,2,9,6.081019783,10,2.9,80.86353406,4.6,0.4
1990,2,10,2.60636461,9.3,1.9,81.36546975,7,6.5
1990,2,11,3.299371814,8.2,2.8,76.39680322,6.3,4.9
1990,2,12,2.142096565,7.2,1.8,78.35813696,4.6,4.6
1990,2,13,3.679351529,9.1,0.9,80.25089662,6.5,8
1990,2,14,3.322549822,7.9,4,75.1214771,3.6,0.8
1990,2,15,0.234891056,5.2,0.3,90.00617925,2.7,13.7
1990,2,16,8.396792657,7.2,-0.8,74.16520329,3.6,0
1990,2,17,0.542589845,9.1,-1.7,94.19629386,2.6,0
1990,2,18,0,9.2,4.9,100,4.2,8.8
1990,2,19,5.917497087,14.7,5.8,84.89550845,3.9,0
1990,2,20,3.860656348,16.5,11,73.1219089,4.3,0
1990,2,21,3.460576644,13.4,5.1,81.36957286,2.3,0.9
1990,2,22,8.103347399,14,3.3,68.68133406,1.9,0
1990,2,23,8.074555706,14.4,3.4,79.80712013,4.1,0
1990,2,24,5.793815625,16.6,6.2,80.123328,5.8,0
1990,2,25,1.9994723,11.7,6.2,86.53019491,9.2,2.2
1990,2,26,0.829511061,11.3,4.6,81.38055437,9.3,10
1990,2,27,1.816227606,7.3,1.8,79.26716239,8.4,9.8
1990,2,28,0.706605721,11.2,3.6,75.75417218,6.1,17.5
1990,3,1,6.105864916,6.8,0.4,79.68536387,3.9,9.7
1990,3,2,7.273204204,6,0.3,83.56878728,3.8,0.9
1990,3,3,5.107347245,8.7,1.3,87.12954491,5.7,0.3
1990,3,4,0,8.3,4.5,91.54588181,7.6,0
1990,3,5,1.385676537,9.2,6.8,83.90053869,7.2,0.1
1990,3,6,0.764766861,9.7,7.6,89.19653774,5,0.7
1990,3,7,0.273136244,11.9,8.5,90.80498161,3.2,0
1990,3,8,2.872356526,11.6,5.7,84.73671085,6.2,0
1990,3,9,0.843294415,9.2,5.4,73.3409709,5.6,0.1
1990,3,10,0,12.1,5.7,94.71614257,5.4,3.6
1990,3,11,6.168361665,14.9,7.7,81.40297228,1.9,0
1990,3,12,7.2730796,11.7,0.6,84.67310438,2.2,0
1990,3,13,7.139835358,12.1,-2.5,87.19285809,2.6,0
1990,3,14,8.734358145,15.4,5.1,73.68289413,1.7,0.2
1990,3,15,10.45870428,13.8,2.2,74.57825661,1.4,0
1990,3,16,10.1838562,16.7,2.2,70.13998988,1.9,0
1990,3,17,9.953098806,20,5.3,62.85439305,2.2,0
1990,3,18,10.57407505,20.6,4.6,58.26280078,3.7,0
1990,3,19,0.767548561,14.9,8.6,75.38967588,2.2,0.8
1990,3,20,9.248936621,14.1,6.2,83.85279446,5.3,3.2
1990,3,21,0,14.2,10.6,81.95182616,3.9,0
1990,3,22,2.694484238,12.2,4,89.81264346,5,0.8
1990,3,23,7.714468918,12.4,3.8,76.84999389,5.3,0
1990,3,24,0,11.1,3.2,86.9426316,3.9,4.6
1990,3,25,4.952061691,8.7,2,80.554494,3.2,4.7
1990,3,26,3.390113553,10.1,1.6,84.28876313,1.9,2.8
1990,3,27,4.175072063,9.8,-0.8,81.91987046,2.5,0
1990,3,28,6.793102964,10.1,-2.6,76.34324435,1.9,0.5
1990,3,29,11.15291507,11.4,0.6,74.86184851,1.1,0
1990,3,30,8.451950102,14.1,1.3,78.9740295,2.5,0
1990,3,31,11.93144602,16.7,0.1,83.46387177,2.3,0
1990,4,1,10.87579642,19.3,7.5,73,3.9,0
1990,4,2,10.44650534,19.3,7.6,62.89307791,4.9,1.3
1990,4,3,6.266682924,11.3,1.1,76.99761139,1.8,2.3
1990,4,4,5.465327413,7.6,-1.3,75.73421347,1.2,1.6
1990,4,5,12.39279592,9.5,-3.9,70.94625429,3.1,0
1990,4,6,12.01178586,11.2,-5.4,59.810881,4,0
1990,4,7,11.54465599,12.7,1.9,54.76125827,4.2,0
1990,4,8,13.56828585,11.1,2.1,50.27635742,2.7,0
1990,4,9,13.54682068,10.6,-2.3,55.97153855,3.6,0
1990,4,10,6.426877251,12.3,-4.7,93.53430004,3.2,3.7
1990,4,11,8.481868653,12.4,4.1,73.32051465,2.1,0
1990,4,12,0,11.6,5.2,92.53603174,3.1,0.4
1990,4,13,4.100287438,14.9,5.6,74.48379515,4.1,0
1990,4,14,7.660769319,11.8,6.2,68.81647373,4.9,1.8
1990,4,15,6.16302889,10.1,4,80.57766013,3.7,20.1
1990,4,16,7.360702908,10.6,3.9,75.55509351,3.1,6.5
1990,4,17,7.357291686,10.2,1.9,73.53746302,2.6,4.5
1990,4,18,4.184330791,9,0.9,82.83242191,3.2,0
1990,4,19,5.125758449,10.5,1.2,81.04688763,3.4,0
1990,4,20,1.136226019,12.3,1.3,100,3.3,1.8
1990,4,21,10.22099401,18.5,6.2,76.64728757,3.9,0
1990,4,22,9.582001855,19.4,9.7,67.01226295,3.6,0.1
1990,4,23,9.018972043,18,6.6,78.99699981,2.4,0
1990,4,24,8.399718073,17.5,5.2,75.17883283,2,0.6
1990,4,25,6.432232784,17.8,4.2,72.37472104,3.3,0.9
1990,4,26,7.883531294,17.2,0.7,85.65615254,3.3,2.5
1990,4,27,4.764585057,10.9,2.5,84.57758712,1.5,2.3
1990,4,28,11.06547715,12.9,1.1,76.86188565,1.5,0
1990,4,29,8.513045182,18.7,7.3,74.78412392,1.6,0
1990,4,30,12.28290508,22.4,3.9,85.95600467,2.7,0
1990,5,1,14.47724232,24,7.7,64.97231763,3.3,0
1990,5,2,13.29683252,26.4,7.6,66.57939522,3.6,0
1990,5,3,14.72150243,24.9,13.3,49.30113315,3,0
