year,doy,RDD,TMMN,TMMX,VPD,U2,P
2023,91,23500,7.26,27.32,0.49,1.2,0
2023,92,25710,7.28,27.61,0.47,1.7,0
2023,93,25480,9.59,26.29,0.44,4.6,0
2023,94,26150,4.81,16.26,0.21,3.6,0
2023,95,25890,4.23,19.83,0.26,1.2,0
2023,96,21990,5.89,25.48,0.35,1.1,0
2023,97,23560,8.62,27.28,0.43,1,0
2023,98,24190,10.06,27.22,0.44,1.4,0
2023,99,26210,13.3,31.12,0.53,1,0
2023,100,26440,14.32,35.88,0.57,1.3,0
2023,101,26000,15.95,36.64,0.65,1.5,0
2023,102,22440,14.71,33.36,0.5,3.1,0
2023,103,22720,13.83,28.13,0.61,3.7,0
2023,104,26690,10.05,25.62,0.73,2.8,0
2023,105,26790,10.73,29.08,0.66,1.5,0
2023,106,26630,13.8,32.61,0.58,1.3,0
2023,107,27200,13.41,32.48,0.59,2,0
2023,108,25660,12.26,29.96,0.47,3.3,0
2023,109,27640,12.27,26.75,0.44,2.8,0
2023,110,27870,11.33,28.81,0.38,2,0
2023,111,27930,11.9,31.44,0.43,1.5,0
2023,112,27180,16.04,32.9,0.6,1.6,0
2023,113,27560,18.17,33.99,0.69,1.8,0
2023,114,26920,13.74,32.65,0.59,2.7,0
2023,115,27530,14.72,33.04,0.77,3.4,0
2023,116,28440,15.05,31.07,0.48,2.4,0
2023,117,28090,14.21,34.23,0.54,1.5,0
2023,118,28380,15.5,35.8,0.56,1.5,0
2023,119,28940,14.36,37.06,0.59,1.4,0
2023,120,26930,18.69,38.35,0.55,1.6,0
2023,121,28300,19.3,34.21,0.57,5.7,0
2023,122,28060,14.91,32.39,0.67,2.6,0
2023,123,28080,16.32,32.44,0.8,3.4,0
2023,124,28660,13.08,27.78,0.71,3.3,0
2023,125,28550,11.05,27.87,0.71,2.1,0
2023,126,29110,11.44,30.8,0.66,1.9,0
2023,127,28950,12.9,32.06,0.61,2,0
2023,128,29430,15.99,34.03,0.59,1.9,0
2023,129,29140,14.62,34.21,0.58,2.3,0
2023,130,27360,14.21,26.55,0.58,2.9,0
2023,131,29120,13.63,31.36,0.57,1.4,0
2023,132,29050,14.38,34.79,0.64,1.9,52.9288375
2023,133,29060,16.5,36.76,0.65,2.5,63.514605
2023,134,28800,19.36,37.55,0.88,2.5,63.514605
2023,135,27280,21.03,39.19,1.09,2.3,0
2023,136,27730,21.63,39.3,1.16,2.7,1.8
2023,137,25640,21.25,37.02,1.44,2.2,0
