YEAR,doy,TMMX,TMMN,PRECTOTCORR,U2,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_PAR_TOT
2023,91,27.32,7.26,0,1.7,25.26,127.12
2023,92,27.61,7.28,0,1.65,26.83,134.59
2023,93,26.29,9.59,0,4.31,26.78,136.3
2023,94,16.26,4.81,0,3.84,28.27,138.42
2023,95,19.83,4.23,0,1.73,27.31,136.26
2023,96,25.48,5.89,0,1.44,24.16,121.68
2023,97,27.28,8.62,0,1.62,24.67,123.19
2023,98,27.22,10.06,0,1.2,25.31,128.51
2023,99,31.12,13.3,0,0.98,27.17,139.04
2023,100,35.88,14.32,0,1.41,26.91,138.54
2023,101,36.64,15.95,0,2.02,27.52,139.09
2023,102,33.36,14.71,0,2.52,20.24,103.82
2023,103,28.13,13.83,0,2.94,21.38,111.37
2023,104,25.62,10.05,0,2.02,28.16,142.48
2023,105,29.08,10.73,0,1.01,27.65,140.15
2023,106,32.61,13.8,0,1.12,27.92,140.87
2023,107,32.48,13.41,0,1.86,28.57,144.96
2023,108,29.96,12.26,0,2.63,26.47,133.6
2023,109,26.75,12.27,0,2.85,28.67,142.62
2023,110,28.81,11.33,0,1.66,29.28,146.72
2023,111,31.44,11.9,0,1.8,29.1,147.23
2023,112,32.9,16.04,0,1.51,26.88,139.72
2023,113,33.99,18.17,0,1.47,27.48,142.84
2023,114,32.65,13.74,0,1.88,26.08,133.14
2023,115,33.04,14.72,0,2.59,28.39,144.46
2023,116,31.07,15.05,0,1.44,29.66,149.74
2023,117,34.23,14.21,0,1.71,29.12,147.77
2023,118,35.8,15.5,0,1.64,29.19,148.76
2023,119,37.06,14.36,0,2.19,29.85,152.57
2023,120,38.35,18.69,0,1.48,27.27,139.03
2023,121,34.21,19.3,0,3.99,28.61,144.97
2023,122,32.39,14.91,0,2.92,29.04,147.55
2023,123,32.44,16.32,0,3.08,29.19,147.62
2023,124,27.78,13.08,0,2.98,30.22,153.46
2023,125,27.87,11.05,0,1.9,29.97,154.86
2023,126,30.8,11.44,0,1.8,30.23,154.56
2023,127,32.06,12.9,0,1.58,29.48,150.3
2023,128,34.03,15.99,0,1.63,30.69,156.49
2023,129,34.21,14.62,0,2.27,30.73,156.27
2023,130,26.55,14.21,0.01,3.02,28.84,147.41
2023,131,31.36,13.63,0,1.17,30.11,153.2
2023,132,34.79,14.38,0,1.62,29.99,154.54
2023,133,36.76,16.5,0,2.3,30.23,153.84
2023,134,37.55,19.36,0.05,2.02,29.97,153.3
2023,135,39.19,21.03,0.11,2.22,27.84,147.88
2023,136,39.3,21.63,1.14,1.45,26.35,139.75
2023,137,37.02,21.25,1.86,1.43,27.08,144.21
2023,138,35.33,23.39,0.62,1.7,25.82,136.38
2023,139,32.32,21.26,0.84,2.11,21.89,118.53
2023,140,36.2,18.65,0.01,1.03,29.19,153.95
2023,141,37.76,19.03,0,1.55,29.89,154.05
2023,142,38.31,20.55,0,1.68,31.05,159.53
2023,143,38.77,19.87,0,2.34,31.83,161
2023,144,37.35,19.56,0,2.48,30.96,161.86
2023,145,37.88,18.51,0,2.9,31.47,162.13
2023,146,36.24,18.19,0,2.89,32.13,162.44
2023,147,36.99,18.01,0,1.94,31.9,163.09
2023,148,38.18,17.62,0,2.34,31.99,163.7
2023,149,37.77,18.01,0,2.64,32.02,163.07
2023,150,36.83,18.59,0,2.86,32.03,161.92
2023,151,32.69,17.62,0,3.43,31.16,160.32
2023,152,33.45,16.27,0,1.33,30.19,157.13
2023,153,35.1,18.67,0,1.3,30.64,160.43
2023,154,37.98,18.08,0,1.52,30.57,159.95
2023,155,39.71,19.89,0,1.67,30.96,160.27
2023,156,40.37,22,0,2.86,30.15,153.4
2023,157,36.97,21.51,0,3.23,32.17,162.98
2023,158,36.05,18.19,0,2.55,31.71,161.51
2023,159,35.26,17.73,0,2.38,28.82,148.09
2023,160,35.26,19.34,0,1.6,31.31,159.95
2023,161,37.63,19.74,0,2.24,29.47,152.1
2023,162,33.94,18.01,0,3.85,31.05,160.4
2023,163,34.14,17.24,0,1.84,30.87,161.62
